#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.177741388114 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.3601000000     -4.96223021      0.1106057149E+01
  -0.3600000000     -4.95950908      0.1115729154E+01
  -0.3599000000     -4.95678794      0.1126365644E+01
  -0.3598000000     -4.95406680      0.1138030339E+01
  -0.3597000000     -4.95134566      0.1150780326E+01
  -0.3596000000     -4.94862452      0.1164662390E+01
  -0.3595000000     -4.94590338      0.1179708695E+01
  -0.3594000000     -4.94318224      0.1195931893E+01
  -0.3593000000     -4.94046111      0.1213319851E+01
  -0.3592000000     -4.93773997      0.1231830273E+01
  -0.3591000000     -4.93501883      0.1251385670E+01
  -0.3590000000     -4.93229769      0.1271869212E+01
  -0.3589000000     -4.92957655      0.1293122119E+01
  -0.3588000000     -4.92685541      0.1314943278E+01
  -0.3587000000     -4.92413428      0.1337091679E+01
  -0.3586000000     -4.92141314      0.1359292082E+01
  -0.3585000000     -4.91869200      0.1381243998E+01
  -0.3584000000     -4.91597086      0.1402633627E+01
  -0.3583000000     -4.91324972      0.1423147967E+01
  -0.3582000000     -4.91052858      0.1442489882E+01
  -0.3581000000     -4.90780745      0.1460392687E+01
  -0.3580000000     -4.90508631      0.1476632792E+01
  -0.3579000000     -4.90236517      0.1491039167E+01
  -0.3578000000     -4.89964403      0.1503498814E+01
  -0.3577000000     -4.89692289      0.1513957997E+01
  -0.3576000000     -4.89420175      0.1522419482E+01
  -0.3575000000     -4.89148062      0.1528936524E+01
  -0.3574000000     -4.88875948      0.1533604566E+01
  -0.3573000000     -4.88603834      0.1536551724E+01
  -0.3572000000     -4.88331720      0.1537929033E+01
  -0.3571000000     -4.88059606      0.1537901256E+01
  -0.3570000000     -4.87787492      0.1536638803E+01
  -0.3569000000     -4.87515378      0.1534311058E+01
  -0.3568000000     -4.87243265      0.1531081235E+01
  -0.3567000000     -4.86971151      0.1527102680E+01
  -0.3566000000     -4.86699037      0.1522516478E+01
