#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.172517414142 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.3548000000     -4.96016144      0.1087379593E+01
  -0.3547000000     -4.95744030      0.1088850865E+01
  -0.3546000000     -4.95471916      0.1090249457E+01
  -0.3545000000     -4.95199803      0.1091572158E+01
  -0.3544000000     -4.94927689      0.1092816138E+01
  -0.3543000000     -4.94655575      0.1093978983E+01
  -0.3542000000     -4.94383461      0.1095058723E+01
  -0.3541000000     -4.94111347      0.1096053852E+01
  -0.3540000000     -4.93839233      0.1096963354E+01
  -0.3539000000     -4.93567119      0.1097786711E+01
  -0.3538000000     -4.93295006      0.1098523914E+01
  -0.3537000000     -4.93022892      0.1099175463E+01
  -0.3536000000     -4.92750778      0.1099742363E+01
  -0.3535000000     -4.92478664      0.1100226120E+01
  -0.3534000000     -4.92206550      0.1100628719E+01
  -0.3533000000     -4.91934436      0.1100952614E+01
  -0.3532000000     -4.91662323      0.1101200696E+01
  -0.3531000000     -4.91390209      0.1101376274E+01
  -0.3530000000     -4.91118095      0.1101483038E+01
  -0.3529000000     -4.90845981      0.1101525029E+01
  -0.3528000000     -4.90573867      0.1101506602E+01
  -0.3527000000     -4.90301753      0.1101432392E+01
  -0.3526000000     -4.90029640      0.1101307269E+01
  -0.3525000000     -4.89757526      0.1101136308E+01
  -0.3524000000     -4.89485412      0.1100924743E+01
  -0.3523000000     -4.89213298      0.1100677933E+01
  -0.3522000000     -4.88941184      0.1100401325E+01
  -0.3521000000     -4.88669070      0.1100100412E+01
  -0.3520000000     -4.88396957      0.1099780708E+01
  -0.3519000000     -4.88124843      0.1099447706E+01
  -0.3518000000     -4.87852729      0.1099106855E+01
  -0.3517000000     -4.87580615      0.1098763527E+01
  -0.3516000000     -4.87308501      0.1098422990E+01
  -0.3515000000     -4.87036387      0.1098090388E+01
  -0.3514000000     -4.86764273      0.1097770717E+01
  -0.3513000000     -4.86492160      0.1097468806E+01
  -0.3512000000     -4.86220046      0.1097189298E+01
  -0.3511000000     -4.85947932      0.1096936638E+01
  -0.3510000000     -4.85675818      0.1096715059E+01
  -0.3509000000     -4.85403704      0.1096528570E+01
  -0.3508000000     -4.85131590      0.1096380948E+01
  -0.3507000000     -4.84859477      0.1096275731E+01
  -0.3506000000     -4.84587363      0.1096216209E+01
  -0.3505000000     -4.84315249      0.1096205424E+01
  -0.3504000000     -4.84043135      0.1096246165E+01
  -0.3503000000     -4.83771021      0.1096340966E+01
  -0.3502000000     -4.83498907      0.1096492103E+01
  -0.3501000000     -4.83226794      0.1096701600E+01
  -0.3500000000     -4.82954680      0.1096971226E+01
  -0.3499000000     -4.82682566      0.1097302497E+01
  -0.3498000000     -4.82410452      0.1097696681E+01
  -0.3497000000     -4.82138338      0.1098154801E+01
  -0.3496000000     -4.81866224      0.1098677636E+01
